x,y
0.2368,-1.26719
0.2376,-1.2682
0.2384,-1.26922
0.2392,-1.27023
0.24,-1.27125
0.2408,-1.27227
0.2416,-1.27328
0.2424,-1.2743
0.2432,-1.27532
0.244,-1.27634
0.2448,-1.27737
0.2456,-1.27839
0.2464,-1.27941
0.2472,-1.28044
0.248,-1.28146
0.2488,-1.28249
0.2496,-1.28351
0.2504,-1.28454
0.2512,-1.28557
0.252,-1.2866
0.2528,-1.28763
0.2536,-1.28866
0.2544,-1.28969
0.2552,-1.29072
0.256,-1.29175
0.2568,-1.29279
0.2576,-1.29382
0.2584,-1.29486
0.2592,-1.29589
0.26,-1.29693
0.2608,-1.29797
0.2616,-1.29901
0.2624,-1.30005
0.2632,-1.30109
0.264,-1.30213
0.2648,-1.30317
0.2656,-1.30421
0.2664,-1.30526
0.2672,-1.3063
0.268,-1.30735
0.2688,-1.30839
0.2696,-1.30944
0.2704,-1.31049
0.2712,-1.31154
0.272,-1.31259
0.2728,-1.31364
0.2736,-1.31469
0.2744,-1.31574
0.2752,-1.31679
0.276,-1.31785
0.2768,-1.3189
0.2776,-1.31996
0.2784,-1.32101
0.2792,-1.32207
0.28,-1.32313
0.2808,-1.32419
0.2816,-1.32525
0.2824,-1.32631
0.2832,-1.32737
0.284,-1.32843
0.2848,-1.3295
0.2856,-1.33056
0.2864,-1.33162
0.2872,-1.33269
0.288,-1.33376
0.2888,-1.33482
0.2896,-1.33589
0.2904,-1.33696
0.2912,-1.33803
0.292,-1.3391
0.2928,-1.34017
0.2936,-1.34125
0.2944,-1.34232
0.2952,-1.3434
0.296,-1.34447
0.2968,-1.34555
0.2976,-1.34662
0.2984,-1.3477
0.2992,-1.34878
0.3,-1.34986
0.3008,-1.35094
0.3016,-1.35202
0.3024,-1.3531
0.3032,-1.35419
0.304,-1.35527
0.3048,-1.35635
0.3056,-1.35744
0.3064,-1.35853
0.3072,-1.35961
0.308,-1.3607
0.3088,-1.36179
0.3096,-1.36288
0.3104,-1.36397
0.3112,-1.36506
0.312,-1.36615
0.3128,-1.36725
0.3136,-1.36834
0.3144,-1.36944
0.3152,-1.37053
0.316,-1.37163
0.3168,-1.37273
0.3176,-1.37383
0.3184,-1.37493
0.3192,-1.37603
0.32,-1.37713
0.3208,-1.37823
0.3216,-1.37933
0.3224,-1.38044
0.3232,-1.38154
0.324,-1.38265
0.3248,-1.38375
0.3256,-1.38486
0.3264,-1.38597
0.3272,-1.38708
0.328,-1.38819
0.3288,-1.3893
0.3296,-1.39041
0.3304,-1.39152
0.3312,-1.39264
0.332,-1.39375
0.3328,-1.39487
0.3336,-1.39598
0.3344,-1.3971
0.3352,-1.39822
0.336,-1.39934
0.3368,-1.40046
0.3376,-1.40158
0.3384,-1.4027
0.3392,-1.40382
0.34,-1.40495
0.3408,-1.40607
0.3416,-1.4072
0.3424,-1.40832
0.3432,-1.40945
0.344,-1.41058
